1000 0.1 0.1958829
1000 0.3 0.2269781
1000 0.5 0.2373963
1000 0.7 0.2378063
1000 0.9 0.2343175
1000 1.1 0.2420062
1500 0.1 0.2033248
1500 0.3 0.2292452
1500 0.5 0.2411472
1500 0.7 0.238098
1500 0.9 0.2441066
1500 1.1 0.238139
2000 0.1 0.2049429
2000 0.3 0.2327233
2000 0.5 0.2385262
2000 0.7 0.2316269
2000 0.9 0.2370755
2000 1.1 0.23662
2500 0.1 0.2013758
2500 0.3 0.2290103
2500 0.5 0.2361362
2500 0.7 0.2379653
2500 0.9 0.2348534
2500 1.1 0.2481414
3000 0.1 0.199224
3000 0.3 0.2293786
3000 0.5 0.2389582
3000 0.7 0.2349685
3000 0.9 0.2358308
3000 1.1 0.2430246
3500 0.1 0.1992023
3500 0.3 0.2314093
3500 0.5 0.2350527
3500 0.7 0.2373734
3500 0.9 0.2423057
3500 1.1 0.2401471
4000 0.1 0.2036855
4000 0.3 0.2247053
4000 0.5 0.2413295
4000 0.7 0.2422609
4000 0.9 0.2384417
4000 1.1 0.2411907
4500 0.1 0.2030269
4500 0.3 0.2380648
4500 0.5 0.239261
4500 0.7 0.2400373
4500 0.9 0.2388509
4500 1.1 0.2395506
5000 0.1 0.201691
5000 0.3 0.2309482
5000 0.5 0.2449554
5000 0.7 0.2323613
5000 0.9 0.242337
5000 1.1 0.2428069
